joke,how,why
"有天，一神经病在刷牙，忽然发现镜子里面也有个人在刷牙。 于是他便向镜子里的人挥挥手打招呼，不料里面那人也一样对他挥挥手。他对他笑笑，里面那人也对他笑笑！他做鬼脸，他也做鬼脸。于是是他火了，骂到：你妹妹的，一直学我干嘛！你神经病啊
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"一位老先生来到药铺，对伙计说：“给我来一剂泻药。”伙计把泻药递给他。 “效力快吗？”老先生问道。 “特快！您看对面的茅厕，离这儿刚好五十步远，只要您现在服下药，一跑到茅厕，一定见效！” 过了一会儿，老先生愁眉苦脸地又回来了。 伙计问：“您还要一剂，老先生？” “不，我来是为了告诉你，这里离茅厕距离你少估计了两步！
",桥界推论,另有含义
有天小明跑去扭蛋，本来要投50元结果手滑弄掉了，铜板滚阿滚阿滚到老板脚下老板：「你掉的是这个银色10块，还是这个金色的10块？」小明：「都不是」老板：「你很诚实，这两个10块给你吧」小明：「喂.......我的50」,桥界推论,意想不到的答案
中央12法制节目。 说一个小孩被绑架，警方如何营救。 解救之后，孩子父亲问：嫌疑人什么特征，绑架这两天你都做什么了？ 孩子说：这两天把作业做了！ #@￥%。。。 宝贝，你内心是有多强大啊,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"在银行排队取钱来着，银行有个光头猥琐大叔对柜员姐姐说：“妹子，借我一万块玩玩呗。” 那姐姐特无奈地说：“爸，取款就取款，别让别人误会了……
",禁忌\秘密揭露,意想不到的答案
"侦探学校举行毕业考试，有一个问题是：公路上有一辆汽车飞驰，没有开灯。突然之间，有一个穿黑衣服的醉鬼走到路中间。这时没有路灯，也没有月亮。眼看那个人就要被汽车撞倒，但汽车忽然刹住了，是什么原因？ 有人答：因为醉鬼的眼睛发光。 还有人答：因为醉鬼大声叫喊。 都不对，正确的答案是：当时是白天
",禁忌\秘密揭露,其他
"昨晚准备了一颗钻戒向女朋友求婚，但是她拒绝了我：“不可以！你是有老婆的！”“我知道，不然你以为钻戒哪来的？”
",桥界推论,意想不到的答案
"正好不在，同事帮我留了客户的姓名，整个把我雷到了。 同事留的条子是：张银，沪猩路**号。 然后我和客户核对信息，结果是：张莹，沪星路**号 无语地问同事怎么会这样。 同事说：问名字的时候，他说是金银的银嘛。 问地址的时候，他说是猩猩的猩嘛…… 我…
",⽂字游戏,搞错重点或是误会情节
"我凭自己本事借的钱，凭什么还？
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"他从小一起长大的女孩和他寝室的好兄弟在一起了。 尽管很难过，但他还是由衷地祝福他们。 平时两人发生争吵，他都会安慰女孩， 陪她吃饭逛街看电影最后还劝他们早点和好。 终于有天女孩被他感动了：“你为什么要对我这么好？” 他想了想认真地回答说：“我只是不想他不快乐。
",禁忌\秘密揭露,意想不到的答案
"「我死后...」富翁嘱咐他的年轻妻子说，「我要你再嫁。」「不要那样说....」她说。「把我的衣服都给他，让他带你出去的时候显得风光些。」他说。「别老说这些！」她哭著说，「那怎么行呢。」「为什么不行？」他问她。「你穿中码....」她向他解释：「他穿大码。」
",禁忌\秘密揭露,意想不到的答案
"老王在树下休息，老李走过来对他说：“嗨，为什么不去上山砍柴？” 老王说：“砍柴干什么？” 老李说：“好卖钱啊。卖到钱就可以买驴，再沿家挨户卖柴。挣了钱就再买卡车，然后买木厂卖木器，再买更多的卡车，那样就可以发大财了。” 老王问：“发了财干什么？” 老李答：“发了财就可以逍遥自在地享清福嘛。” 老王说：“那你以为我现在在干什么？
",桥界推论,意想不到的答案
"花为什么会笑？因为花有梗，老人为什么会笑？因为他是老梗，电锯为什么会笑？因为它会一直「梗梗梗梗梗梗~~~~~~~~~~」
",⽂字游戏,另有含义
"一位妇女走进我所工作的服装店，想为她的四十年高中聚会找一件套装，正当她一件又一件的疲于试换时，几位上高中的女孩拿着她们为家庭舞会所挑选的服装走进试衣间。 噢！这件衣服简直让我看起来像四十岁!一个女孩嚷道。 那位妇女将头从试衣室中探出来说：把它给我，那正是我所要找的
",桥界推论,另有含义
"妻子：我想给小狗起个名字叫‘拜伦’，母亲说这样会侮辱了这位诗人；后来我想把你的名字改给它，母亲又说不好。 丈夫：你的母亲真好。 妻子：她说这样会侮辱了小狗
",羞辱,意想不到的答案
"丈夫被半岁的女儿抓得满脸是伤。太太频频催他上医院。 丈夫：我不在乎这点伤。 太太：我却在乎我的名誉
",桥界推论,另有含义
"甲生是一位勤奋好学的学生，他利用寒暑假兼职赚取学费。白天帮肉贩割肉，晚上则到医院工作。某晚，有位老妇因急诊要施行手术，由甲生用轮床推她进手术室。老妇看了甲生一眼，突然惊惶失色的狂喊：「天那！你是那个杀猪的，你要把我推到哪儿？」
",桥界推论,搞错重点或是误会情节
"小明的爸爸是邮递员。 一天，爸爸上班忘了戴帽子，妈妈赶紧追了出去。 小明怕爸爸走了，就在楼上喊：“爸爸，我妈给你带绿帽子去了！
",⽂字游戏,另有含义
"妈妈教导自己即将成年的女儿说：“选择丈夫是一辈子的大事，要多长几个心眼。你看你爸爸，什么都会修，汽车、电器、水龙头都是自己修，连衣柜坏了，他也能自己修……” 女儿点点头。 妈妈继续说道：“如果你也找一个像你爸爸这样的丈夫，你一辈子也别想用上新东西！
",桥界推论,意想不到的答案
"老林想买新手机跟美女店员杀价杀了半天，都没成功，只好忍痛买下...离开前，老林不甘心的问到：「美女，我跟妳买了手机，妳又没算我便宜，妳应该可以送我点什么吧？」美女店员一愣弱弱的说：「那我送你出去吧.....」
",⽂字游戏,另有含义
大熊猫生日，吹灭生日蜡烛后，朋友们问它，许了什么愿望。大熊猫回答说：我这辈子有2个最大的愿望，一个是希望能把我的黑眼圈治好，还有一个嘛！就是希望我也能照张彩色照片。,无逻辑和矛盾,其他
"儿子问：“比水渠大的叫什么？” 我答：“叫水沟。” “比水沟大的呢？” “叫小溪。” “比小溪大的呢？” “叫河。” “比河大的呢？” “叫海。” “比海大的呢？” “叫洋。” “比洋大的呢？” “比洋大呀，叫什么呢……” 我正苦思冥想，儿子得意地说：“我知道，比羊大的是牛。
",⽂字游戏,搞错重点或是误会情节
"有一天，一位大款来到一家饭店。 女服务员上前问道：先生，您需要什么？ 馍馍（摸摸）多钱？水饺（睡觉）多钱？ 流氓（六毛）！服务员大怒。 才六毛呀，肯定不是什么好货色。算了，走了。 大款说道
",⽂字游戏,搞错重点或是误会情节
"女：“你跟我说话怎么老嚼着糖？” 男：“不嚼糖哪来那么多甜言蜜语呀
",禁忌\秘密揭露,另有含义
"一位求职者在「专长」一栏中填上「造谣」。面试官不信任地说：「你造一次谣给我们看看。」求职者走到门外，对其他等待面试的人说：「你们可以回去了，我已经得到了这份工作，没你们的事了。」
",桥界推论,意想不到的答案
"主人在睡觉的时候被小偷惊醒。 主人：把所有的东西放下！！ 小偷：可是，这些东西有一半是从别人那儿拿来的
",禁忌\秘密揭露,另有含义
"老婆从来不做家务。老公生日那天晚上，老婆心血来潮地对老公说：“今天你生日，不用洗碗了。” 老公高兴地亲了一口老婆说：“太好了，谢谢你帮忙！” 老婆不紧不慢地说：“留着明天再洗吧。
",桥界推论,意想不到的答案
"一所中学的电脑教室由于要使用Windows的关系必须要购买一百只鼠标（mouse），于是向财务部打了报告。 不久就接到会计室的公文：因为经费有限，请先购买一对老鼠，以便繁殖后代
",⽂字游戏,搞错重点或是误会情节
"小明喜欢钓鱼，然后把钓来的鱼带回家做水煮鱼，这天小明又钓到一条鱼，没想到这条鱼竟然会说话，它说：求求你，放了我吧，这天是我生日，放我一条生路吧。 小明：好，那我祝你生日快乐，你接受吗？ 鱼：好的，谢谢你。 于是小明把鱼煮了，因为他说的是‘祝（煮）你生日快乐’
",⽂字游戏,另有含义
"我们高中每学期给年级前十发一千元奖金。 一牛人，高一上学期到高三上学期都拿奖金，攒了五千，高三下学期买了个iPhone。 后来，高考落榜了…
",桥界推论,意想不到的答案
"一位监考老师正纳闷的盯这一位学生在掷骰子，奇怪的是……那学生同一题掷好几次……便问那学生为什么？那学生无奈的回答说：""难到不用验算吗？""
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"先生，有口皆碑，怎样解？ 学生，有口皆杯的意思，是说：凡杯，都有口，如酒杯、茶杯等
",⽂字游戏,搞错重点或是误会情节
"小张：你不是最讨厌结婚的吗？ 小王：我是因为她身材的曲线才娶她。 小张：她一定有副令你难以抗拒的身材了？ 小王：哪儿，她怀孕了
",桥界推论,意想不到的答案
"夏日健康提醒：夏天来了应尽量选择多吃西红柿或者西瓜，尽量少吃芒果，荔枝，猕猴桃，提子，因为西红柿和西瓜比较便宜。吃多了不心疼……
",禁忌\秘密揭露,意想不到的答案
"甲：喂，你在写什么？ 乙：情书。 甲：写些什么？ 乙：你听着，‘亲爱的，我的心上人，我俩是天生的一对。除了你，我谁也不爱’…… 甲：写给谁呀？ 乙：我还没有最后拿定主意
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
某天夜里一位75岁的老太太在梦中见到了上帝。 她问上帝：我还有多久活呢？ 上帝说：还有35年时间。 听了这话，她在后来的一年做了一套完完全全的美容手术，整了脸，缩了腹，简直如同换了一个新人 。她觉得既然还有35年时间，不妨就应该看上去年轻窈窕些。 就在这同一年，她被汽车给撞了，一命归天。 她进入天堂之门后，直接走到上帝的面前：这是怎么回事？您不是说我还可以再活35年吗 ？ 上帝想了一下，说道：原来是你呀！刚才我真的没有认出是你,桥界推论,荒诞或是愚蠢的行径\话语\情况
"昨晚请女同事吃饭，菜端上来她没吃两口就不吃了，我关心地问道：“你为什么……”她笑着打断我说：“你是想问我为什么吃这么少吗？”我说：“我是想问你为什么吃这么少，还这么肥！”
",羞辱,意想不到的答案
"有一个英文名字叫汉姆的大学老师，在学校里每天都很辛苦的备课，时间久了，于是就有了后来非常出名的“贝克汉姆”
",⽂字游戏,另有含义
"丈夫下班回家，看到老婆剪成短发后，不高兴的说：“你这么好的一头长发，怎么箭成了个短发，也不先跟我商量一下！” 老婆回了一句：“你都成了秃顶了，什么时候给我商量过！
",类比,意想不到的答案
"雄蟹向雌蟹求婚。雌蟹注意到雄蟹走路时是直行而非横行的。 心里想：这位先生真与众不同，我可不能让他跑掉。于是他们当下就结婚了。 第二天她注意到她的新婚丈夫和别的螃蟹一样，也在横行，就问道：昨天你不是直行的吗？ 亲爱的，她丈夫回答，我可不能天天都喝得那么醉
",禁忌\秘密揭露,意想不到的答案
"老公老婆在床上要睡觉，老公打了一个喷嚏，喷了老婆一脸。老婆说：再有情况时提前说一声。过了一会，老公大声说：预备！老婆赶忙一头钻进被子里，老公放了一个屁。
",桥界推论,意想不到的答案
"一女一男正在甜蜜散步。这时冲出另一女子指着他们大骂：“没良心的，你答应过要照顾我一辈子啊！！！” 男的呆了：“我不认识你啊！”然后转头向女朋友解释说：“亲爱的我真的不认识她！”女友沉默。 男的慌了，就骂那女的：“你想当第三者想疯了啊！” 那女的哭着看着那男的说：“你才是第三者！！
",桥界推论,意想不到的答案
"问：公司要裁员时不能喝什么？答：仙草蜜，因为「先炒ＭＥ」…
",⽂字游戏,另有含义
"妈妈怀孕了，四岁的小宝百思不得其解，他想知道，未来的弟弟或妹妹是如何生出来的。爸爸耐心地给小宝描绘道：「先生出头，再生出身子，最后是两条腿，懂了吗？」「懂了，爸爸。然后你再用螺丝把它们组装起来，对吧！」
",无逻辑和矛盾,搞错重点或是误会情节
"女友是个波霸， 我开玩笑问她里面的不会都是硅胶吧？ 她点点头说是， 看我脸都白了她大笑着安慰我说： “今天是愚人节我骗你的啦！ 其实那是用我自己脂肪做的， 我以前是男人的时候比较胖。
",禁忌\秘密揭露,意想不到的答案
潘曼打工快满一年了，这天财主突然说：我问你，世上什么东西最好吃又最不好吃？答对了，多发你10文钱，否则就扣你一半工钱。潘曼知道财主在耍花招，便答应着走进厨房，端来一碗硬糠饼放在桌上。 财主一看是给长工当饭吃的东西，不敢说不好吃，潘曼便说：既最好吃，那你就吃一口吧。财主嚼着又馊又酸的硬糠饼，不觉哇一口吐出来，潘曼侧身道：老爷，这是世上 最好吃又最不好吃的东西。你说对吗？财主无话可说，只好给他加了10文钱,桥界推论,另有含义
"有一天一个客人走到牛肉面店去客人：「老板！一碗牛肉面面多一点」老板：「好，马上来」老板在做面时客人又说：「老板，汤要多一点唷~」老板：「喔！面端来了」客人：「老板，我还要肉多一点」老板生气的说：「那请问你要什么东西少一点？」客人(很欠扁的表情)：「钱呀！」
",无逻辑和矛盾,意想不到的答案
"法官对被告说：你不但偷钱，还拿了表，戒指和珍珠。 被告说：是的，法官先生，人们不是常说‘光有钱并不会得到幸福吗
",典故改写,搞错重点或是误会情节
"宪哥：「看看他是不是手上都长老茧了...（问少林和尚」NONO：「是因为练功的关系吗？」宪哥：「是因为晚上寂寞的关系啊！」
",桥界推论,另有含义
儿：爸，我今天被老师处罚。角头爸爸：嗯？老师干嘛给你处罚。儿：我也不知道，上课的时候老师就问我3X2等于多少？爸爸：那你怎么回答？儿：我说等于6啊。爸爸：嗯！对啊，阿老师为什么会处罚你？儿：因为后来老师又问我，那2X3等于多少？...爸爸：XXX勒，阿不是拢港款.....儿：对对对！！我就是这样跟老师说的...,桥界推论,意想不到的答案
"问：马、虎、狼三种动物，请问是谁把龙藏起来了呢？答：狼，因为：卧虎藏龙（wolf藏龙）
",⽂字游戏,另有含义
"昨晚吃饭的时候，阿公突然跟我说：「家里有块地是你的。」当下我强忍泪水，心里暗想：「我就知道，我其实是隐形富二代！之前的贫困日子都是为了磨砺我！现在时机终于成熟了！」我强忍住内心的激动，尽量用平和又不经意的语气回答他：「喔，在哪里？」阿公说：「在桌上，新竹货运的“快递”，我早上帮你签收了。」
",⽂字游戏,搞错重点或是误会情节
"老师：小明，最近你的功课写的不错！ 小明：这全是警察打黄的功劳！ 老师：功课与扫黄有什么关系？ 小明：我爸每晚没地方去，就盯着我写功课
",桥界推论,另有含义
"有一天，小明在上课，由于晚上没睡好上课在打瞌睡，老师评讲卷子都没听见。 忽然，老师问同学们:""领会的意思是什么?"" 小明信心满满的举起手，老师看见了说:""小明，你来回答吧!"" ""领会的意思是领导开会!!"" 同学们哄堂大笑，老师马上晕了过去…
",⽂字游戏,荒诞或是愚蠢的行径\话语\情况
"我带儿子到附近的一家超市购物。 在化妆品货架旁，儿子指着一瓶增白霜说：“妈，给我买一瓶增白霜抹抹我的手，增增白！” 我惊奇地问：“你一个男孩子为什么要那么白的手？” 儿子说：“因为你说过我长大了，一切都要‘白手起家’！
",⽂字游戏,搞错重点或是误会情节
"几个同学一块去拉面馆，人挺多。 因为下午有活动，一同学便不耐烦地喊道：“老板你快点拉，拉完我们快点吃，都还有事呢！” 旁边的人都石化了…
",⽂字游戏,荒诞或是愚蠢的行径\话语\情况
"阿花跟阿狗说…… 今天考试的时候…… 我踢你一下…… 你就要给我瞄一下…… 到了考试的时候…… 阿花踢了阿狗一下…… 阿狗便回答……喵~~
",⽂字游戏,搞错重点或是误会情节
"家有二货老婆一枚，哺乳期，喂过奶的都知道，期间奶会涨，以此为背景。一天老婆奶涨宝贝还没吃，脱了衣服奶成喷射状，瞬间喷我一脸，欣喜若狂的说：老公，我也能射你一脸。
",桥界推论,另有含义
"大学我们班里有个同学，叫王偲。 这个字念cai，一声。 有次一老师头一次点名，点到他了，老师拖长了音说：“王~~~” 坐在前排的几个女生就知道老师不认识这个字了， 于是一起大声跟老师说：“cai~~” 然后老师很委屈的抬起头来说，我猜不出来
",⽂字游戏,搞错重点或是误会情节
"小美在一家高级发廊理完发，一脸不悦。店主走上前去说道：“您好，您现在的发型是今年最流行的，您要是觉得不适合，欢迎您提出修改意见。” 小美嘴巴嘟嘟的翘起说：“那你把价目表修改一下吧！
",桥界推论,意想不到的答案
"小新：「妹妹，你干嘛那么用功？」妹：「还不都是因为你」小新：「我？」妹：「没错，我们家总要有人有出息吧！」
",讽刺,另有含义
"父亲下班回家，拿起一张报纸看了起来，一旁的儿子接连问了父亲好几个问题，父亲心烦起来，说：别问了！过去我从来没有向你爷爷问过这么多的问题！ 儿子回答说：是啊，您如果向爷爷问过这么多的问题，回答我就不会这样困难了
",讽刺,另有含义
"某公司经理奉召前往当陪审员，案子看来要相当日子才能审完。他向法官请假，解释说：公司业务繁忙，我不能长期离开。 法官说：哦，你未免把自己估计的太高了吧。你觉得公司没有你就不能运作，是吗？ 不是的，法官大人。我知道即使没有我，他们也能正常动作。我是担心他们发现这个事实
",禁忌\秘密揭露,意想不到的答案
"甲：我今天五点就起床了。 乙：然后你干啥了？ 甲：然后……呵呵…我又睡了
",禁忌\秘密揭露,其他
"老师规定凡是上课讲话的，要到教室后面罚站，并且把说话的内容大声说十遍。有一天上课，小蓝和邻座的同学咬耳朵，被老师抓到。 老师生气的说：小蓝，后面罚站！把你刚刚说的话再大声说十遍。 小蓝低着头走到教室后面，开始喃喃的低声说着。 老师叫道：大声一点！让全班都听得到！ 小蓝就大声的喊：老师的拉链没拉、老师的拉链没拉…
",禁忌\秘密揭露,意外出糗
"昨晚下雨了，儿子捉条鱼放鱼缸里去睡觉了，晚上我关门看到屋里蹦进来一只小青蛙，就捡起来放进了鱼缸。 儿子一大早起来就去看他的鱼，一会很紧张地跑到我跟前，压低声音说：“爸爸，可不得了了，我的鱼昨晚生了只青蛙！
",无逻辑和矛盾,搞错重点或是误会情节
"吃完饭后，服务员走过来问道：“你们还需要来点点心吗？” “不用了，我吃饱了。” “谢谢，我可以了！” “再也吃不下了！” 服务员：“今天的点心是赠送的。” “哦，那给我一块蛋糕。” “我要巧克力的，谢谢。” “我可以要双份吗？
",无逻辑和矛盾,另有含义
"一次数学课，我没认真听讲。 老师快过来了，我急忙用悄悄话那样的声音问后座一哥们：“哥们，哪一页？” 那哥们相当淡定的告诉我：“你没有拒绝我。” 我又一次小声的问：“擦！哪一页？” 然后他告诉我：“我伤害了你。” 我勒个去！当我是在和他对歌吗
",⽂字游戏,搞错重点或是误会情节
"中分看鼻子，齐刘海看脸型，斜刘海看气质，无刘海看五官……我？适合蒙面！
",禁忌\秘密揭露,另有含义
"有天两个员工在闲聊员工A：「今天老板发表的演说真不错，尤其是当他说公司就像机器，而我们每个人都如同螺丝一般重要时，我觉得他真是一个好老板，那么重视我们！」员工B：「但你可能忘了，螺丝虽然重要，但是..........容易替换！」
",禁忌\秘密揭露,意想不到的答案
"一天，年幼的杰克在院里坐着，他见一个不相识的人进来。 他便问道：你是谁。 这人答道：我是你的伯父，我的名字叫‘没有人’。 这人看见一些衣服便拿跑了。 杰克一见这情形，便喊道：妈妈，有人把我们的衣服拿去了。 他母亲问道：是谁呀？ 杰克答道：没有人。 他母亲以为他在开玩笑，便微笑着道：亲爱的，你在开什么玩笑。 杰克更加高声喊道：有人把我们的衣服拿跑了。 谁呀？ 没有人。 母亲又笑了笑道：亲爱的，不要打扰我了。我在给你做一件新衣裳呢。 杰克差不多哭了，喊道：有人把我们的衣服偷去了！ 母亲急忙走出屋来，她看见果然有人把衣服偷去了。 她便急忙问道：你看见谁把我们的衣服偷去了？ 杰克道：没有人
",⽂字游戏,搞错重点或是误会情节
"美玲：「你为什么要和张先生解除婚约？」阿娟：「昨天我们去看相，算命先生说我会生两个孩子，却说他会有四个孩子。你想想看，他多生的两个孩子，是跟谁生的？」
",桥界推论,另有含义
"我诅咒你一辈子买速食面没有调料包。
",其他,意想不到的答案
"妈妈正在打扫卫生，儿子走过去对妈妈说：“妈妈，你看！” 儿子边说边伸出手指，妈妈想要吓跑他，于是就把小明的手指一口咬在嘴里说：“我要咬掉你的手指！” 儿子迅速把手指从妈妈的嘴里拔出来，仔细的看了看说：“哎？妈妈，我的鼻屎呢？
",桥界推论,另有含义
"老师，我遇见强盗了，就是作业被抢了。
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"某人从国外旅游回来，看起来却闷闷不乐的样子，于是他妻子就问：「难道你们的员工旅游不好玩吗？」某人说：「别提了，住的地方又破又脏，身上还被虫咬。」妻子问：「怎么会这样？公司不是说让你们住『五星级』饭店吗？」某人：「没错，公司说的是住『有省钱』的饭店！」
",⽂字游戏,搞错重点或是误会情节
"一投行菜鸟问：“什么是投行？”前辈拿了一些烂水果问他：“你打算怎么把这些水果卖出去？”菜鸟想了半天说：“我想按照市场价打折处理掉。”这位前辈摇头，拿起一把水果刀，把烂水果去皮切块，弄成个漂亮的水果拼盘：“按照市场几十倍的价格卖掉。”
",桥界推论,其他
"在某大学进修中文的一外国女学生用成语一见钟情造句：昨晚做好全部功课，我一见钟，情不自禁地叫了起来！ 不对，不能将成语拆开。年轻的男教师纠正道。 今晨我到校一见钟情，就向她问好。 词不达意，还是不对。 她望着男教师又说：我对您一见钟情…… 这次对啦！啊？不对。 男教师红着脸说：句子对了，对象不对
",⽂字游戏,意想不到的答案
有位老兄买了新宾士，开上高速公路庆祝享受。当码表跳到时速130公里时，他突然发现警车闪著红蓝灯跟在后面。他心想：「警车怎能追得上宾士？」于是把油门踩重直飙到150、160，但他最后还是乖乖把车停下来了。警察走上前来告诉他：「如果你想得出一个我没听过的飙车理由，我就放你走。」老兄回答：「我老婆上星期跟警察跑了，我怕你要把她还给我⋯」,禁忌\秘密揭露,另有含义
"约翰：昨天我对乔治讲了一个笑话，他听了后牙齿都掉了。 吉姆：怎么？他牙都笑掉了？ 约翰：不，他说那根本不是笑话。 吉姆：那怎么？ 约翰：我打了他一拳
",桥界推论,另有含义
"有一个美国的烟商来到法国做生意，一天，他在市集上大谈抽烟的好处。突然，位老人走上台子，大声说道：「女士们，先生们，抽烟还有三大好处：第一，狗怕抽烟人；第二，小偷不敢偷抽烟人家；第三，抽烟者永远年轻。」一时间，台下观众情绪振奋，那位商人更是喜形于色。老人却把手一摆，说：「为什么呢？因为........第一，抽烟的人驼背的多，狗见了，以为正要拾石头打他哩，第二，抽烟人夜里咳嗽，小偷以为他没睡，不敢偷。第三，抽烟人都短命，所以永远年轻。」
",禁忌\秘密揭露,意想不到的答案
"在一个炎热的下午，一位爷爷跟著孙子一起在客厅看电视。后来实在太热了，爷爷想吹电风扇。于是他就跟孙子说：「去帮爷爷插插头」这时孙子就去浴室里拿了条毛巾在爷爷的大光头上擦擦头。
",⽂字游戏,搞错重点或是误会情节
"妻子让丈夫买丝瓜，丈夫便在门口等着。一会儿，来了个卖韭菜的，劝他买，他说：我要买丝瓜。卖韭菜的说：丝瓜痿阳，韭菜壮阳，为何壮阳的不买，却要买痿阳的？妻子在家听到了，高声对丈夫喊道：丝瓜等不来，就买了韭菜吧
",桥界推论,另有含义
"学生：老师，我想请假一天。老师：什么理由？学生：我奶奶快不行了。老师：你奶奶不是去年就已经过世了吗？学生：这次是我家隔壁的王奶奶。老师：那跟你有啥关系？学生：是我爷爷非得让我和我爸去给她送终。
",桥界推论,另有含义
"小时候过年，妈妈给小冬一元压岁钱，小冬看了又看，摸了又摸，妈妈说：“没想到一块钱你会这么珍惜！”小冬说：“不是啊，我是检查一下是不是假钞！”
",禁忌\秘密揭露,意想不到的答案
"夫妻俩在前往电影院的路上。妻忽然想起：「我忘了将厨房里炉子熄灭，要是引起火灾，怎么办？」夫思忖了一下：「尽管放心，我也忘记将浴室里自来水龙头关闭，所以毫无危险。」
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"麻麻问儿子：“你长大想找个啥样的老婆啊？”儿子：“妈妈酱紫的。”麻麻很高兴：“为啥啊？”儿子：“我外遇不会被老婆发现！”
",桥界推论,另有含义
"小芬：「老师我肚子痛！」老师：「那去保健室擦药吧！」小美：「不用擦药啦！一定是她没吃早餐肚子空空的在作怪！」小明：「老师我头痛！」小芬：「那小明就是头脑空空在作怪䁖！」老师：「无言中。」
",羞辱,意想不到的答案
"三兄弟好不容易聚在一起。二哥：「要不要玩大老二？」小弟：「玩谁的？」大哥朝两人瞄了一眼，不屑的说：「我的。」
",桥界推论,另有含义
"今天我姐带着我小侄还有我溜达。 我小侄走着走着就摔倒了，俺姐那是一个心疼啊：大乖怎么摔了？疼不疼啊？？ 我小侄淡定的爬起来，拍拍身上的土，说：走累了，爬地上歇会…
",禁忌\秘密揭露,意想不到的答案
"甲和乙在酒吧里喝酒闲聊…… 甲：“经济不景气，养家活口真辛苦……” 乙：“你是几个小孩啊？” 甲：“五个。” 乙：“哇靠，五个的确不好养！” 甲：“孩子倒还好，不过孩子们的五个妈可真难养。” 乙：“……
",桥界推论,意想不到的答案
"一天，老妈心神不宁的，我问她怎么了，老妈把我拉到窗户边，说：“你看这人，在我们家门口站了半个多钟头了，他不会是要偷东西在摸底吧？”我立马到房里关了wifi，没过多久那人就走了。
",桥界推论,另有含义
"老师带着一群小朋友们参观自然保护区，他们来到一片乌龟聚居区，看见那里有许多乌龟蛋。小朋友们看着那颗颗代表生命的蛋好奇无比，跑来跑去左看看右看看。 可唯独小明一人站在那不为所动，老师自然注意到了他，便询问原因。 小明白了老师和小朋友们一眼，一脸的不屑:“一群王八蛋，有什么好看的！
",羞辱,意想不到的答案
"牧师对买他的马和马车的农夫说：这匹马只听得懂教会的语言：叫‘感谢上帝’它就跑，叫‘赞美上帝’它才停下。 买了马的农夫将信将疑，他试着叫了一声感谢上帝，那马立即飞奔起来，越跑越快，很快就跑到了一处悬崖边上，惊恐万分的农夫才想起来让它停下的口令并高叫道：赞美上帝！ 果然，马在悬崖边上停了下来。 死里逃生的农夫长长地嘘了口气：感谢上帝…
",桥界推论,另有含义
"动物园，一名妇女看见两个中作人员在哭泣，便问道：「你们怎么啦？」「大象死了。」一个工人答道。「看来你们对大象的感情很深厚啊！」「不是，动物园园长让我们给他挖坟墓。」
",桥界推论,另有含义
"中年的肥胖妇人，在街上遇到久违不见的老朋友。朋友说：「近来你似乎很忙？」「嗯，忙著减肥！」「怎么减？」「每天骑马三个小时。」「效果如何？」「嗯，马瘦了一公斤！」
",夸张,另有含义
"一位电视演员的演出合同，又续约到下一个演出季，全家人都很高兴。他的儿子在学期结束那一天冲回家来，大叫著：「爸、爸，这是我的成绩单。」「是不是都及格了？」「哦，比那更好，」儿子充满自信地答道：「我暑假后可以再继续读一年高二，跟你一样哦！」
",桥界推论,另有含义
"男生带女生出去玩，女生问：“我们去哪里？” 男生本想说去公园划船，去船上，但一着急说：“去床上吧！” 女生慌忙逃走
",⽂字游戏,搞错重点或是误会情节
"这是实际发生在我身上的一件真人真事...这天特地起个大早想吃吃好久没吃的到的早餐一进到早餐店..看见豆浆烧饼油条还有饭团与水煎包...心里不禁雀跃起来买了一堆杂七杂八的想到学校慢慢享用~结果...我却发现我没有塑胶袋！！这可麻烦了...我买了这么多万一没塑胶袋我要怎么带走呢！？老板看到我有点惊慌的表情他识破了这一切...他慢慢的张开口...用他那没涂护唇膏而干裂的嘴唇慢慢的说出...""少年仔~你没带塑胶袋阿！？""我很不好意思的回答""对阿~你这边真的没塑胶袋了喔！？""老板微微一笑...""你现在慢慢往后看...那根电线杆看到了没有！？等一下你就走过去~上面就有放塑胶袋了~大的小的看你要哪一种自己去拿~你千万不要说这是我给的喔！！这是你捡到的！！捡到的喔！！""我..""...(老板...算你行！！)""
",桥界推论,另有含义
"有个人抱怨妻子用钱太浪费了。你是什么意思，竟然说我浪费？妻子咬牙切齿地大叫，我用的每一分钱都花在家庭上。你才是乱用钱。我怎么乱用了？ 譬如说那个………妻子指着灭火器说，你买的那个灭火器已经两年了，却边一次都没有用过
",桥界推论,荒诞或是愚蠢的行径\话语\情况
问：手中有5只镖水里有5只鱼试问可以射中几只鱼？答：2只因为三只鱼闪镖（三支雨伞标）,⽂字游戏,另有含义
